talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	Hoµng h«n t©y s¬n, t«i sÏ kh«ng lµm viÖc n÷a, b¹n h·y l¾ng nghe.	Buån, t¹i sao t«i kh«ng cã mét ng­êi b¹n t©m giao!	Ngåi trong nhµ trong mét thêi gian dµi kh«ng tèt cho søc kháe.	Râ rµng kh«ng thÓ lµm ®iÒu ®ã, nh÷ng lêi nµy cã nghÜa lµ g×?	Khi nµo t«i cã thÓ cã mét ng«i nhµ cña riªng t«i?	Chóng ta lµ anh em tèt, ph¶i kh«ng?
12	Ta nãi nh©n huynh, chóng ta tuy r»ng lµ nam nh©n, còng kh«ng thÓ lóc nµo còng kh«ng t¾m röa chø?	Mïa thu ®ang ®Õn, vµ tr¸i c©y ®á nªn ®­îc nÊu chİn.	§«i khi ®i du lŞch trªn nói còng rÊt thó vŞ!	Bèn cuèn s¸ch n¨m kinh t«i ®· ®äc, nh­ng vÉn kh«ng hiÓu b¶n chÊt cña nã.	B©y giê trÎ em ngµy cµng nghŞch ngîm, kh«ng ngê cÇm vò khİ cña t«i ®Ó ch¬i!	Vµo mïa hÌ bªn ao, d­íi ¸nh tr¨ng, chiªm ng­ìng hoa sen cã mét c¶m gi¸c thó vŞ kh¸c nhau.
13	MÆc dï t«i lµ mét vâ phu, nh­ng t«i ®· ®äc tø th­ ngò kinh.	Lı do t«i kh«ng kÕt h«n lµ sî sù thÌm ¨n cña phô n÷ ®èi víi quÇn ¸o vµ ®å trang søc!	Ng«i ®Òn ®ang rung chu«ng, rÊt dÔ nghe, ph¶i kh«ng?	Ng­êi vµng tuy r»ng ®i råi, hiÖn t¹i bê biÓn l¹i n¸o lo¹n ®¸m rËp.	H«m nay khi t«i thu dän g¸nh nÆng, t«i thÊy sóng cao su ®· ®­îc ch¬i khi t«i cßn nhá!	T«i nhËn ®­îc th­ cña em g¸i t«i, c« Êy nãi r»ng cha mÑ lµ tèt.
14	T«i ®· mÖt mái cña c«ng viÖc cña t«i mçi ngµy b«n ba lao ®éng.	Ng­êi phô n÷ nh×n thÊy quÇy quÇn ¸o liÒn ®i l¹i, ®iÓm nµy ë trªn ng­êi muéi muéi ta chøng minh.	T«i thİch ®i d¹o bªn bê s«ng trong c¬n m­a nhá.	§«i khi ngay c¶ khi con ng­êi cã søc m¹nh m¹nh mÏ cuèi cïng lµ buån b· vµ kÕt thóc.	Giang Nam tø ®¹i tµi tö, ng­¬i ®· tõng nghe qua c¸i danh hµ nµy?	Mçi ngµy ph¶i kiªn tr× uèng s÷a ®Ëu nµnh, nghe nãi nh­ vËy c¬ thÓ sÏ trë nªn s¨n ch¾c.
15	ThËt kh«ng thó vŞ khi ë bªn anh.	Tr­íc kia mÑ ta nãi cho ta mét con d©u, ngµy thµnh th©n ta bá ch¹y.	B¹n ®· bao giê ¨n l­¬n, h­¬ng vŞ cùc kú ngon.	Kh«ng biÕt thiªn h¹ rèt cuéc cã rång hay kh«ng, nÕu mét ngµy nµo ®ã cã thÓ tËn m¾t nh×n thÊy th× tèt råi!	Gi¸o chñ Thiªn NhÉn Gi¸o tõng cã duyªn gÆp ta mét lÇn.	Than «i, mÆt trêi mäc ba c©y sµo, chóng ta h·y lªn ®­êng ®i?
16	Giang hå hiÓm ¸c, ta ®· n¶y sinh ı ®Şnh ®i.	Anh lµ mét ng­êi nhµm ch¸n, ngay c¶ ®ïa giìn còng kh«ng ®ïa.	Ng­êi trong giang hå nh­ chóng ta, kh«ng nªn c­íi vî, bëi v× chóng ta tø h¶i lµm gia ®×nh.	Kim, méc, thñy, háa, thæ ngò hµnh hßa gi¶i míi cã thÓ lµm cho v¹n vËt ®¹t tíi c©n b»ng.	§Ö tö Nga Nga ch­a bao giê tïy tiÖn nãi chuyÖn víi nam tö!	Y phôc cña ®¹i ca ®· r¸ch, cã thêi gian ta gióp ng­¬i bæ sung ®­îc, ®õng nh×n ta tay ch©n th«, còng sÏ ®iÓm ch©m cøu sèng.
17	T«i ®· ®i qua s«ng Lín b¾c-nam, hy väng sÏ cã c¬ héi ®Ó xem ë n­íc ngoµi.	Nµy? Lµm thÕ nµo cã hai ®ång tiÒn d­íi lßng ®Êt?	Khi t«i lín tuæi, t«i cã thÓ xuÊt gia lµm nhµ s­.	Ng­êi §¹i Tèng chóng ta nªn ®oµn kÕt h¬n, nh­ vËy míi cã thÓ c­êng ®¹i h¬n.	GÇn ®©y cã rÊt nhiÒu muçi, c¾n t«i hçn hîp lµ tói x¸ch.	N¨m míi ®ang ®Õn mét lÇn n÷a, t«i muèn thùc hiÖn mét kÕ ho¹ch cho nh÷ng ngµy sau nµy!
18	C¶ ngµy ¨n b¸nh lín, tæ ®Çu, ta nµo cã khİ lùc giÕt ®Şch?	T«i kh«ng ph¶i tïy tïng cña anh, lµ ng­êi gióp ®ì anh.	Cã rÊt nhiÒu ®¸ trªn nh÷ng ngän ®åi gÇn ®ã cã thÓ ph¸t ra ¸nh s¸ng rùc rì.	D¬i lµ ®iÒu t«i ghĞt nhÊt!	§¹i ca, chóng ta tèt nhÊt tr¸nh ngñ trªn nói, buæi tèi cã d· thó lui tíi.	VÒ nhµ ¨n TÕt còng cã chç kh«ng tèt, ph¶i cho ch¸u trai, ch¸u trai tiÒn mõng tuæi.
19	……………………………………	TiÒn, tiÒn, t¹i sao t«i lu«n lu«n nghÌo nh­ vËy.	Hoa lan në trªn nói, mïi th¬m ë kh¾p mäi n¬i.	§«i khi t«i méng du, khi b¹n t×m thÊy, b¹n ph¶i nh×n thÊy ®¸nh thøc t«i dËy ah.	Lµm sao b©y giê, cßn cã m­êi ngµy em g¸i ta s¾p qua sinh nhËt, ta cßn ch­a nghÜ ra tÆng lÔ vËt g×.	H«m nay vèn muèn ®i sßng b¹c, nh­ng nhí tíi lêi cña ®¹i ca, ta liÒn nhŞn xuèng.
20	H«m qua anh nãi g×, anh sÏ v­ît qua cöa ¶i nµo?	Kh«ng biÕt khi nµo míi cã thÓ tİch gãp ®ñ vèn vî.	Kh«ng sî b¹n c­êi, trªn thùc tÕ, t«i còng rÊt thİch hoa vµ cá.	C©y trång trong ®Êt bŞ bá hoang, d©n lµng gÇn ®ã ®· ®i ®©u?	Ng­êi tËp vâ kiªng kŞ nhÊt kú thËt chİnh lµ s¸t sinh, kh«ng thÓ dïng b¹o lùc ®i c­íp ®o¹t tİnh m¹ng cña ng­êi kh¸c.	Ta cßn ph¶i cÇn ph¶i luyÖn tËp míi cã thÓ b¾t kŞp th©n thñ cña ®¹i ca a.
21	Vò khİ cña t«i ®· bŞ h­ háng vµ ngµy mai t«i sÏ söa ch÷a nã.	Cã chót v­íng bËn cha mÑ trong nhµ, kh«ng biÕt th©n thÓ bän hä cã tèt kh«ng?	¤å, quÆng t«i thu thËp ®­îc h«m nay b¸n víi gi¸ tèt.	N¬i nµy cã rÊt nhiÒu ng«i phÇn c« ®¬n, chØ sî lµ mÊy n¨m tr­íc khi chiÕn lo¹n l­u l¹i.	H«m nay bÇu trêi v¹n dÆm kh«ng m©y, cßn cã giã nhÑ thæi qua, thËt sù lµ lµm cho ng­êi ta s¶ng kho¸i a!	Buæi tèi nghe tiÕng c«n trïng hãt, ß ßi ng­îc l¹i dÔ ngñ s©u.
22	Anh lu«n ®Æt t«i vµo t×nh huèng nguy hiÓm.	Nã thùc sù nhµm ch¸n r»ng tÊt c¶ chóng ta lÆp ®i lÆp l¹i cïng mét ®iÒu mçi ngµy.	S¾c trêi ®· tèi, chóng ta nªn nhanh chãng t×m mét n¬i ®Ó ngñ?	BÊt kÓ lµ ng­êi Kim hay ng­êi H¸n ®Òu kh«ng muèn ®¸nh giÆc.	Khi t«i ®i ngang qua V¹n Lı Tr­êng Thµnh lÇn tr­íc, t«i thÊy nh÷ng ng­êi lİnh ®ang uèng r­îu vµ ¨n thŞt, vµ kh«ng cã nhiÒu ng­êi nghiªm tóc ®øng canh g¸c.	Buæi tèi cïng t«i uèng r­îu, qu¸n r­îu cßn cã ca n÷, vò n÷ biÓu diÔn.
23	T«i sÏ kh«ng bá qua bÊt cø ®iÒu g× kh¸c ngoµi tr¸ch nhiÖm cña t«i.	TÖ, t«i quªn h«m nay cã ph¶i lµ ngµy may m¾n cña hoµng ®¹o kh«ng?	Tèi qua t«i ®· gÆp thiªn th¹ch, t«i kh«ng biÕt liÖu cã chuyÖn tèt nµo x¶y ra kh«ng?	H¬n nöa ®ªm tèt nhÊt ®õng ra ngoµi, sÏ gÆp ph¶i tµ khİ.	Mét vµi n¨m tr­íc ®©y, mét ngän löa cña ng­êi ®µn «ng vµng ®· ®èt ch¸y ng«i lµng gÇn ®ã, vµ b©y giê nã ®· trë nªn thŞnh v­îng mét lÇn n÷a!	Hµng Ch©u lµ mét n¬i tèt, rÊt nhiÒu ng­êi ®Ñp.
24	C¶ ngµy vÊt v¶ nh­ vËy, cã thÓ t¨ng l­¬ng kh«ng?	Theo hoµng lŞch, h«m nay t«i kh«ng nªn ®i vÒ phİa t©y, còng kh«ng nªn mÆc ¸o ®á.	H«m nay chóng ta nªn ®i vÒ phİa t©y, ®ã lµ h­íng may m¾n.	Nh÷ng ngµy nµy b«n ba kh¾p n¬i, kh«ng cã thêi gian thay quÇn ¸o.	T¹i c¸c chî biªn giíi, b©y giê cã thÓ nh×n thÊy ng­êi H¸n vµ ng­êi Kim lµm kinh doanh!	T«i ®i mua mét sè b¸nh bao thŞt vµ ¨n trªn ®­êng.
25	NÕu cã thÓ hñy bá ­íc hÑn!	§«i khi thÇy bãi chØ ®Ó kiÕm thªm b¹c, nãi bËy víi anh.	TuÇn tr­íc nh×n thÊy mét ng­êi ®µn «ng, thùc sù ®Ñp trai, ngay c¶ t«i còng ghen tŞ ah.	Nh÷ng ®¸m m©y ®en bao phñ bÇu trêi, cã vÎ nh­ mét c¬n m­a lín tiÕp theo.	Rèt cuéc vÉn lµ ®Êt ®ai ®¹i Tèng giµu cã a!	Quª h­¬ng cña anh trai t«i ë ®©u?
26	Ta còng lµ nh©n sinh nhôc tr­êng, kh«ng nªn xem ta lµ c«ng cô giÕt ®Şch cña ng­¬i.	Trêi ®Êt mÆc dï lín, nh­ng kh«ng cã mét n¬i dung th©n nh­ ta, ai!	Khi nµo t«i còng cã thÓ së h÷u mét ng«i nhµ sang träng?	Ai, nhiÒu ngµy kh«ng ¨n thŞt, nÕu cã thÓ cã mét vß n÷ nhi hång th× cµng tèt.	Trªn ng­êi ta ®· cã v« sè vÕt sÑo, kh«ng ng¹i thªm vµi c¸i n÷a, ha ha!	T«i sinh ra trong mét ng«i lµng nhá gÇn Thµnh §«, n¬i nói non n­íc biÕc, ®Şa linh nh©n kiÖt.
27	T«i nghÜ anh lµ mét ng­êi sî chÕt.	TrÔ nh­ vËy, chóng ta cßn ph¶i ®i!	Sù lùa chän cña t«i sÏ sai? DÊn th©n vµo giang hå cã thùc sù lµ con ®­êng t«i nªn ®i kh«ng?	GÇn ®©y c¬ thÓ t«i cã mét sè khã chŞu, cÇn ph¶i ®­îc ®¹i bæ.	Th¸ng tr­íc, anh hä t«i ®Õn, mang cho t«i rÊt nhiÒu tµi s¶n b¶n ®Şa.	C¸ hÊp cã vŞ qu¸ tèt, nhí l¹i liÒn ch¶y n­íc miÕng.
28	Anh ¨n tái, ph¶i kh«ng?	Ngùa cña b¹n cã vÎ ®ãi!	Tuy nãi nam nhi cã n­íc m¾t kh«ng nhÑ ®¹n, nh­ng cã lóc bi th­¬ng còng nªn ph¸t tiÕt ra.	Nh©n s©m, linh chi, nhung h­¬u ®Òu lµ d­îc liÖu bæ th©n.	Ta vÊt v¶ tİch gãp phÇn lín ng©n l­îng ®Òu cho mÉu th©n cïng phô th©n!	Gäi gµ hoa th× nÊu r­îu qu¶ thùc lµ mü vŞ nh©n gian a!
29	Mçi ngµy trêi kh«ng s¸ng liÒn ®øng lªn luyÖn c«ng, ng­¬i còng nªn nh­ vËy.	T«i ®ãi ®Õn nçi t«i chØ cã thÓ ¨n mét İt b¸nh n­íng.	B¹n ®· bao giê nh×n thÊy biÓn xanh, nã cã thÓ lµm s¹ch t©m trİ con ng­êi.	§· l©u kh«ng uèng trµ, cã thêi gian chóng ta ®Õn qu¸n trµ ngåi mét chót ®­îc kh«ng?	N¨m tíi gia ®×nh t«i sÏ x©y dùng ba ng«i nhµ lín ®Ó t«i cã thÓ kÕt h«n víi con d©u.	Chóng ta cã t¾m n­íc nãng khi chóng ta ngñ vµo ban ®ªm kh«ng?
30	B¹n cã thÓ kh«ng biÕt b¬i, b¬i léi th­êng xuyªn cã thÓ tËp thÓ dôc x­¬ng vµ c¬ b¾p.	T«i thùc sù lo l¾ng vÒ sù hy sinh vinh quang cña b¹n thêi gian tíi khi b¹n giÕt qu¸i vËt!	Ta ®· tõng thÊy thiªn cÈu nuèt nhËt mét lÇn, kh«ng biÕt ng­¬i ®· thÊy qua ch­a?	Nghe thÊy con qu¹ kªu kh«ng, ®iÒu nµy sÏ kh«ng may m¾n.	§¹i ca, chóng ta còng lµ thanh niªn nhiÖt huyÕt, nªn ®i lµm mét phen sù nghiÖp lín.	§å ¨n nhÑ Thµnh §« næi tiÕng kh¾p n¬i, cã thêi gian t«i mêi anh trai ¨n.
31	ThËt kh«ng thİch tiÕp xóc víi ng­êi cña §­êng M«n, bän hä th­êng xuyªn ¸m to¸n ng­êi.	Nhµ t«i ban ®Çu nu«i b¶y, t¸m con lîn, mét n¹n ®ãi tÊt c¶ giÕt chÕt ¨n.	Hoa anh ®µo ®Ñp h¬n vµ thanh lŞch h¬n hoa ®µo.	Võa nh×n thÊy mét con có tr¾ng, thËt sù lµ hi kú a!	N¬i hoang s¬n d· lÜnh dÔ xuÊt hiÖn yªu qu¸i nhÊt, chóng ta vÉn nªn cÈn thËn.	Ta nhÊt ®Şnh ph¶i c­íi mét cao thñ nÊu ¨n lµm vî.
32	Hßa th­îng ThiÕu L©m ai nÊy ®Òu tù cho m×nh kh«ng chŞu næi, t«i nh×n liÒn rÊt khã chŞu.	Tõ nhá cha ta ®· hy väng ta cã thÓ lµm ®¹i quan, trung tr¹ng nguyªn, nh­ng ta ®èi víi viÖc häc vÊn kh«ng cã høng thó.	Nµy, h«m nay t©m tr¹ng cña t«i kh«ng tÖ, chóng ta ®i d¹o mét chót?	H«m nay t«i rÊt vui mõng, chóng ta h·y cïng nhau xuèng s«ng mß mÉm c¸?	Kú thËt ta còng kh«ng ph¶i phi th­êng sî quû qu¸i, chØ lµ cã ®«i khi nhí tíi, trong lßng sinh ra khñng bè.	HiÖn t¹i ta cµng ngµy cµng muèn thµnh th©n, ai, nh­ng ng­êi trong lßng ë ®©u cßn kh«ng biÕt ®©y?
33	§¸ng chÕt, nhÊt ®Şnh lµ nÊm ng­¬i t×m ®­îc h«m qua h¹i, ®au bông chÕt!	S­ phô cña t«i lµ mét phi tiªu s­, sèng ë Thµnh §«.	LÔ thÊt tŞch hµng n¨m l¹i ®Õn, n¨m nay t«i c« ®¬n mét m×nh.	Cã mét ngän nói ë phİa xa tr«ng hoang v¾ng.	§«i khi con ng­êi ®¸ng sî h¬n ma.	§· tõng cã tiÓu th­ quı téc viÕt th­ t×nh cho ta, ta kh«ng ®¸p l¹i nµng, dï sao th©n phËn cña chóng ta chªnh lÖch rÊt lín.
34	C¸i g× ng­¬i nãi x«ng quan, ta hiÖn t¹i mét chót høng thó còng kh«ng cã.	TiÓu s­ muéi cña ta ®· tõng ¸m chØ víi ta, nh­ng lóc Êy ta còng kh«ng hiÓu g×, n¨m ngo¸i nµng lËp gia ®×nh.	H«m nay b¹n ¨n mÆc qu¸ xÊu xİ, h·y nhanh chãng thay ®æi nã.	Phong c¶nh ë ®©y rÊt tèt, chóng ta h·y th­ëng thøc nã nhiÒu h¬n mét chót?	Chóng ta h·y ®i ¨n nhÑ, ®­îc chø?	Kú L©n rèt cuéc lµ bé d¸ng g× ®©y? Gi¸ nh­ t«i cã thÓ nh×n thÊy.
35	LÇn sau anh cã thÓ chó ı kh«ng? T«i ®· gÇn nh­ mÊt m¹ng nhiÒu lÇn.	T«i ghĞt chöi thÒ nhÊt, nh­ng ai ®ã thùc sù nªn m¾ng.	Ngµy n¾ng nãng nµy, lµm cho ng­êi ta cµng thªm phiÒn n·o.	T¹i sao mäi ng­êi lu«n lu«n muèn sèng l©u dµi, thùc sù kh«ng hiÓu ah!	Võa råi cã mét con s©u nhá nh×n ch»m ch»m vµo ta mét chót, cã chót ngøa.	Lµm thÕ nµo t«i cã thÓ quªn kÕ to¸n, mçi ngµy t«i sÏ ghi l¹i chi phİ cña riªng t«i, v× vËy nã lµ dÔ dµng h¬n ®Ó qu¶n lı tiÒn b¹c.
36	LÇn tr­íc ng­¬i cho ta tr¸i c©y lµ chua, thiÕu chót n÷a chua rông r¨ng nanh cña l·o tö.	Chóng ta kh«ng cÇn ph¶i chiÕn ®Êu víi ng­êi kh¸c mét c¸ch tïy tiÖn, ®iÒu ®ã kh«ng cã ı nghÜa.	Lo¹i tµi n¨ng nµo lµ nh÷ng ng­êi thµnh c«ng?	NÕu b¹n cã thÓ ngñ trªn mét chiÕc gi­êng tho¶i m¸i mçi ®ªm, haha!	§ãi, tr­íc m¾t s¾p cã sao vµng, ta ¨n mét c¸i b¸nh n­íng ®i!	TriÖu §¹i §Şa chñ yÕu b¸n mét m¶nh ®Êt, ta c©n nh¾c mua, x©y mét nhµ hµng nhá.
37	Trong thêi tiÕt ma qu¸i nµy, b¹n kh«ng bá lì trµ sao?	§· ®Õn lóc tÕ tÕ miÕu Ngò T¹ng.	HiÖn t¹i kim nh©n ®· rÊt İt quÊy rÇy §¹i Tèng ta, d©n chóng còng cã thÓ sèng mét cuéc sèng b×nh an.	Chóng ta nªn dõng l¹i vµ nghØ ng¬i mét chót!	MÆc dï phong c¶nh ®Ñp, n­íc s«ng trong v¾t, nh­ng chóng t«i vÉn cßn mét c¸i g× ®ã ®Ó lµm, kh«ng nªn l­u luyÕn n¬i nµy.	Muéi muéi ta s¾p xuÊt gi¸, trong lßng cã chót qu¸i l¹!
38	Buæi tèi t«i th­êng nghØ ng¬i kh«ng tèt, thêi gian dµi, Iron Man còng ph¶i ng·.	Mét ngµy nµo ®ã, t«i còng sÏ trë thµnh mét nh©n vËt næi bËt trong giang hå.	Khi t«i ®i ngang qua ThiÕu L©m, t«i sÏ ®i vµo vµ th¾p h­¬ng.	Khi v­ît qua cöa ¶i, tr­íc tiªn ph¶i chuÈn bŞ ®Çy ®ñ, ®Õn lóc ®ã míi cã thÓ kiªn tr× ®Õn ®İch!	Ngµy h«m tr­íc ngñ quªn ë ph¸ miÕu, vøt bá chñy thñ yªu quı cña ta, kh«ng biÕt cã ph¶i ¨n c¾p hay kh«ng?	Man Di n÷ tö, ®Òu cã thÓ ca h¸t móa giái.
39	Thêi tiÕt h«m nay rÊt xÊu, lµm cho t©m tr¹ng cña t«i kh«ng tèt.	Anh b¹n, anh kh«ng nghÜ gÇn ®©y anh qu¸ nhµm ch¸n sao?	Tr­êng bµo trªn ng­êi ta lµ do n­¬ng tù m×nh lµm.	T«i th­êng trÇn truång trong mïa ®«ng kh¾c nghiÖt ®Ó thùc hµnh c«ng viÖc ngoµi trêi, v× vËy t«i cã thÓ trau dåi sù kiªn tr×.	Lµm ng­êi kh«ng thÓ qu¸ cæ hñ, ngÉu nhiªn còng ph¶i c­êi mét tiÕng, ®óng, ta nãi lµ ng­¬i, ®¹i ca!	H«m nay mÆt tr¨ng lµ tèt, t«i muèn thæi s¸o cho mÆt tr¨ng.
40	Quay trë l¹i chî, h·y ch¾c ch¾n ®Ó xem c¸c buæi biÓu diÔn ca h¸t.	L¹i ®i ngang qua n¬i nµy n÷a!	Ngµy nµo ®ã ta cïng Nh©n huynh luËn bµn mét v¸n cê nghÖ chø?	Tr©n Ch©u tÆng cho n­¬ng ta lµm thä lÔ lµ thİch hîp nhÊt!	Phô n÷ ®­îc chia thµnh bèn lo¹i, cao quı, ®¸ng yªu, tèt bông, trang nghiªm, b¹n thİch lo¹i nµo?	T«i kh«ng quen nh×n thÊy mét ng­êi tù cho m×nh lµ ®óng nhÊt trong cuéc ®êi t«i.
41	T«i muèn vÒ nhµ lµm ruéng, kh«ng muèn sèng mét cuéc sèng lang thang nh­ vËy.	H«m qua t«i thÊy mét c« g¸i xÊu xİ, lµm h¹i t«i mét c¬n ¸c méng.	A, l·o bµ ta vÊt v¶ l¾m míi tiÕt kiÖm vèn thiÕu mét v¨n, nĞm ë n¬i nµo?	ThÓ chÊt suy yÕu cã thÓ dïng d­îc liÖu ®Ó nÊu canh bæ th©n thÓ.	Hoa cóc pha trµ sÏ cã h­¬ng th¬m rÊt ®Æc biÖt!	ThËt kú l¹ khi nghe ai ®ã h¸t kh«ng? Nh­ng t«i kh«ng cã ai kh¸c ngoµi b¹n!
