talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	§õng ®Ó t«i lµm nh÷ng ®iÒu nguy hiÓm ®ã!	T«i sinh ra ë mét n¬i nhá kh«ng râ, cho ®Õn khi häc vâ c«ng míi ra khái quª h­¬ng.	Tuy r»ng ta còng muèn g¶ cho anh hïng hiÖp kh¸ch, nh­ng cïng lo¹i ng­êi nµy kh«ng cã sèng v÷ng vµng.	C¸c nhµ s­ cæ ®¹i ®· ®iªu kh¾c t­îng PhËt ë §«n Hoµng, thu thËp rÊt nhiÒu kinh s¸ch vµ kho b¸u.	T«i cã mét ®øa ch¸u trai nhá rÊt nghŞch ngîm, ngay c¶ nh÷ng con lîn nu«i trong nhµ anh ta còng c­ìi ngùa ch¹y.	ChiÕn tranh s¾p kÕt thóc, thËt tuyÖt vêi.
12	X¸ch vali, x¸ch hµnh lı, c«ng viÖc nh­ vËy ®õng ®Ó t«i lµm.	Víi b¹n trong mét vµi ngµy, lµn da cña t«i trë nªn th« r¸p.	T«i ®· tõng trµn ®Çy hµo hïng, ®õng nh×n t«i chØ lµ mét c« g¸i.	Th¸ng tr­íc khi ®i ngang qua miÕu thµnh phè, quªn d©ng cung cho thÇn tiªn, kÕt qu¶ bŞ mÊt mét tói b¹c l­îng.	Mét lÇn, t«i thu trøng cho bµ ngo¹i cña t«i, v« t×nh ®Ó cho gµ trèng lín ®Ó kİch thİch.	C¶m gi¸c lang b¹t giang hå thËt kh«ng tåi, tø h¶i vi gia.
13	T«i kh«ng ph¶i lµ ng­êi gióp viÖc cña anh.	Cã thêi gian còng nªn ®i mua mét sè thuèc mì ®Ó ¸p dông cho khu«n mÆt, rÊt tho¶i m¸i.	Cã lÏ theo ng­¬i cã thÓ thùc hiÖn tr¶ thï tr­íc kia cña ta, trë thµnh vâ l©m cao thñ, v× quèc gia tËn lùc.	Gµ cã rÊt nhiÒu lo¹i, gµ ®en, gµ cñi, gµ ch©n ng¾n, gµ ba mµu vµng, ngon nhÊt vÉn lµ gµ ba vµng.	Së thİch chã tr­íc ®©y cña t«i lµ mét con chuét.	Cã chót ®au ®Çu, cã thÓ lµ c¶m l¹nh ®i.
14	Kh«ng ph¶i lóc nµo còng bËn rén c©u ®­îc anh chµng ®Ñp trai ®­îc kh«ng?	Khi mïa xu©n ®Õn, nh÷ng b«ng hoa ®Ñp sÏ në trªn nh÷ng ngän ®åi.	T«i h¸t kh«ng hay, kh«ng biÕt em g¸i t«i h¸t nh­ thÕ nµo.	Gµ ba vµng tèt nhÊt nªn hÇm, sau ®ã thªm gia vŞ, h­¬ng vŞ v« cïng ngon.	§«i khi t«i nghÜ vÒ mµ t«i nu«i, ng­êi ®· tõng lµ ng­êi b¹n tèt nhÊt cña t«i.	Hèi tiÕc lín nhÊt trong cuéc sèng nµy lµ kh«ng häc b¬i.
15	Nhµ c« g¸i lu«n lu«n ¨n mÆc, nh×n b¹n!	N¨m nay nªn lµ mét n¨m tèt, hy väng r»ng ®Êt n­íc cña chóng t«i kh«ng cã th¶m häa.	Khi cßn bĞ, t«i vµ l·o cung n÷ tõ trong cung häc nh¶y, hiÖn t¹i gÇn nh­ quªn mÊt.	T«i lu«n lu«n mang theo mét vµi qu¶ d­a chuét víi t«i vµ sö dông nã nh­ lµ mét lo¹i tr¸i c©y ®Ó ¨n.	Bông t«i ®«i khi cã thÓ kªu lªn, hä nãi r»ng ®ã lµ mét con s©u dµi bªn trong, thùc sù khñng khiÕp!	§õng nãi lµ anh kh«ng cã ng­êi trong lßng, t«i còng kh«ng tin!
16	T¾m İt nhÊt mét lÇn mét tuÇn, nÕu kh«ng b¹n sÏ bŞ khinh miÖt!	C¸c hßa th­îng trong ThiÕu L©m Tù ®Òu rÊt nghiªm tóc, cã ph¶i trêi sinh bän hä sÏ kh«ng c­êi hay kh«ng?	Trong s©n sau nhµ bµ t«i nu«i rÊt nhiÒu gµ m¸i, trøng sèng cã thÓ ®i chî ®æi tiÒn.	Sau khi röa mÆt vµo buæi s¸ng, ®iÒu ®Çu tiªn cÇn lµm lµ uèng mét ly n­íc Êm lín.	Ngµy h«m ®ã nh×n thÊy mét miÕng v¶i, nã chØ ®¬n gi¶n lµ qu¸ ®Ñp ®Ó lµm cho t«i mét chiÕc v¸y.	Ngµy nµo ®ã chóng ta lµm cho b¸t ca ch¬i ®ïa, d¹y nã häc nãi.
17	§· bao l©u råi anh kh«ng söa tãc?	Mïa hÌ trong nh÷ng n¨m gÇn ®©y trë nªn nãng h¬n vµ nãng h¬n, thùc sù lµ mét chót kh«ng thÓ chŞu ®ùng ®­îc.	Mét n¨m n÷a, kh«ng biÕt b¹n bÌ ë quª nhµ thÕ nµo.	T«i ghĞt nhÊt lµ mét ng­êi ®µn «ng kÕt h«n víi mét sè ng­êi vî, qu¸ kh«ng c«ng b»ng cho phô n÷.	A, ®©y lµ ng©n l­îng ai bá ra?	Thu thËp ®å trang søc b¹c lµ mét trong nh÷ng së thİch cña t«i.
18	Kh«ng cÇn ph¶i lµm g× nªn ®­îc b¸n, ®Ó l¹i mét ®èng r¸c ®Ó lµm g×?	Mïa ®«ng thùc sù khã chŞu, còng kh«ng thÓ mÆc quÇn ¸o ®Ñp.	§i thuyÒn trªn biÓn c¶m thÊy nh­ thÕ nµo, t«i còng muèn tr¶i nghiÖm.	§iÒu t«i sî nhÊt lµ s©u b­ím.	Trong thùc tÕ, xe bß tho¶i m¸i h¬n xe ngùa, nh­ng t¹i sao kh«ng ai ®i xe bß?	Võa råi ng­êi kia nh­ thÕ nµo lín lªn so víi ®Çu tr©u, mÆt ngùa, cßn ®¸ng sî h¬n!
19	T¹i sao cã rÊt nhiÒu ng­êi PK b¹n?	Mãn yªu thİch cña t«i lµ b¸nh bao nhá vµ s÷a ®Ëu nµnh.	§å ¨n nhÑ ë long m«n trÊn næi tiÕng gÇn xa, chóng ta nhÊt ®Şnh ph¶i ®i nÕm thö.	§iÒu t«i ghĞt nhÊt lµ muçi.	ChØ v× xe bß qu¸ chËm, mäi ng­êi kh«ng thİch ®i xe bß.	ThËt kh«ng may, t«i ®· kh«ng t×m thÊy bÊt cø ®iÒu g× t«i ®· ®­îc ch«n d­íi gèc c©y tr­íc ®©y.
20	N¨m nay phæ biÕn mµu ®á, t¹i sao b¹n mÆc mµu xanh l¸ c©y?	T«i ¨n ®Ëu phô h¹nh nh©n, kh«ng biÕt lµm thÕ nµo nã lµm, mét ngµy nµo ®ã còng ph¶i häc.	Thİch nhÊt nh÷ng c©u th¬ cña Lı B¹ch, t«i nghÜ anh Êy lµ mét ng­êi hiÓu tù do vµ cuéc sèng.	Con vËt yªu thİch cña t«i lµ mét.	Nh÷ng ng­êi tr­íc ®©y ®· nh×n thÊy mét lµn da ®en trong mét ng«i nhµ giµu cã, ®en nh­ carbon.	T«i rÊt vui khi nhËn ®­îc mét bøc th­ t×nh ngµy h«m nay!
21	T«i nghe nãi ng­êi ®µn «ng vµng cã ®«i m¾t xanh.	¡n nhiÒu tr¸i c©y cã lîi cho søc kháe, nh­ng còng cã thÓ gi¶i ®éc vµ h¹ háa.	Vµo lÔ héi ®Ìn lång, nhµ hä ®Æt hoa vµ th¾p ®Ìn, nh­ng nã rÊt n¸o nhiÖt.	Mãn yªu thİch cña t«i lµ d­a hÊu.	Ta biÕt, ng­êi cã lµn da ®en gäi lµ C«n Lu©n N«, lµ n« lÖ chuyªn m«n lµm viÖc cho ng­êi ta.	Than «i, t«i ®· ®­îc chÊt bĞo h¬n nhiÒu so víi n¨m ngo¸i, vµ bông nhá cña t«i ®· ®i ra.
22	Mçi ngµy ¨n vµ ngñ, ngñ vµ ¨n, sÏ bĞo.	Uèng İt nhÊt ba ly n­íc lín mçi ngµy rÊt tèt cho lµn da cña b¹n.	Ph­¬ng B¾c gäi lµ nguyªn tiªu, phİa nam gäi lµ b¸nh tr«i, h­¬ng vŞ tuy r»ng kh«ng sai biÖt l¾m, c¾n lªn vÉn kh«ng gièng nhau.	§iÒu khã chŞu nhÊt cña t«i lµ tói b¹c trèng rçng.	Mïa hÌ n¨m ngo¸i ta thiÕu chót n÷a bŞ mét s¬n ®¹i v­¬ng b¾t ®i lµm ¸p tr¹i phu nh©n.	T«i sÏ gi¶m c©n tõ h«m nay.
23	KÓ tõ khi ë bªn anh, cuéc sèng cña t«i ®· trë nªn v« nghÜa.	Nghe nãi trµ xanh s¶n xuÊt t¹i V©n Nam ®Æc biÖt tèt, mét ngµy nµo ®ã còng ph¶i mua mét sè s¶n phÈm.	C¸c mãn ¨n cña thôc ®Şa h¬i cay, kh«ng thİch hîp cho ng­êi Giang Nam chóng ta ¨n.	§iÒu h¹nh phóc nhÊt cña t«i lµ gÆp cöa hµng quÇn ¸o ®Ó gi¶m gi¸.	T¹i sao t«i kh«ng trë nªn tr¾ng ah, t«i ®· sö dông rÊt nhiÒu bét ngäc trai.	Trong g¸nh cßn cã mét miÕng b¸nh m×, chØ cã thÓ ¨n víi d­a muèi.
24	B¹n d­êng nh­ kh«ng cã thãi quen röa tay tr­íc b÷a ¨n!	Cã rÊt nhiÒu tr©u ë phİa nam, vµ mäi ng­êi cã thÓ c­ìi trªn l­ng cña hä, ®ã lµ thó vŞ.	Ng­êi vµng lµm toµn bé cõu n­íng h­¬ng vŞ thùc sù tèt, nh­ng nh÷ng con cõu ®ã lµ qu¸ ®¸ng th­¬ng.	Tèi qua t«i d­êng nh­ nghe thÊy mét con sãi kªu, nh­ng t«i ®· kh«ng nh×n thÊy mét nöa con sãi.	MÑ ta nãi c« n­¬ng ®en kh«ng g¶ ®­îc, ta ph¶i nhanh chãng lµm tr¾ng.	T«i h¸t mét bµi h¸t, ®õng nãi h¸t kh«ng tèt oh!
25	T«i hy väng b¹n kh«ng ph¶i lµ mét PK víi mäi ng­êi mét c¸ch ngÉu nhiªn.	Nh×n thÊy ®éc xµ ph¶i tr¸nh xa mét chót, ta cã mét lÇn thiÕu chót n÷a bŞ ®Çu ®éc chÕt.	Khi ®i bé trong tù nhiªn, h·y chó ı ®Õn hoa vµ cá ven ®­êng, cã rÊt nhiÒu lo¹i th¶o méc cã gi¸ trŞ.	GÇn ®©y t«i ®· tøc giËn, t«i ph¶i ¨n mét sè m­íp ®¾ng ®Ó ®i ®Õn löa.	T¾m d­íi s«ng qu¸ nguy hiÓm, trong tr­êng hîp ®Ó cho ng­êi ®µn «ng nh×n thÊy sÏ xÊu hæ ®Õn chÕt.	Hai mü n÷ chóng ta hµnh tÈu giang hå, sÏ dÉn tíi kh«ng İt cuång phong l·ng ®iÖp ®i.
26	Kh«ng thÓ b¾t n¹t nh÷ng ng­êi cã ®¼ng cÊp thÊp h¬n nhiÒu so víi b¹n.	Mçi n¨m t«i sÏ ®i ®Õn nói N¨m §µi ®Ó th¾p h­¬ng, vµ n¨m nay t«i sÏ ®i.	Hai ngµy nµy lu«n lu«n m¬ ­íc, m¬ thÊy rÊt nhiÒu ®å ¨n nhÑ.	§«i m¾t lµ rÊt quan träng, nÕu b¹n c¶m thÊy mÖt mái, h·y ®Ó nã nghØ ng¬i.	B¸nh bao nãng hæi c¾n mét ngôm thËt th¬m a, ai, ®· l©u kh«ng ¨n qua.	Chóng ta h·y cÈn thËn víi nh÷ng ng­êi ®µn «ng kh«ng cã ı ®Şnh tèt.
27	Kh«ng thİch nh÷ng ng­êi kh«ng nãi vÒ vÖ sinh!	Tæ tiªn cña t«i ban ®Çu sèng ë phİa b¾c, vµ sau ®ã di c­ vÒ phİa nam v× cuéc x©m l­îc cña ng­êi Kim.	Cã ph¶i d¹ dµy cña t«i cã vÊn ®Ò, hai ngµy nay kh«ng thÓ ¨n bÊt cø thø g×.	Cã lÇn t«i uèng n­íc giÕng bŞ nhiÔm ®éc, kh«ng biÕt cã ai cè ı h¹ thuèc hay kh«ng.	Ai da, lóc nµy ta míi nhí ra, ta cßn mang theo cñ c¶i ng©m cña m×nh kh«.	T«i ph¸t hiÖn ra r»ng nh÷ng ng­êi ®µn «ng trong thŞ trÊn ®ang chó ı ®Õn chŞ g¸i cña t«i, cho thÊy r»ng em g¸i t«i lµ hÊp dÉn.
28	B¹n ®ang sö dông dÇu quÕ hoÆc son phÊn ah, thùc sù khã chŞu.	Hãa ra t«i ®· nu«i mét, kh«ng biÕt nã ®· ®i ®©u, kh«ng thÓ t×m thÊy nã.	MiÒn Nam cã mét lo¹i h­¬ng ®ªm, chØ në vµo ban ®ªm, h­¬ng th¬m lan táa kh¾p n¬i.	Cua rÊt ngon, sau khi hÊp dïng n­íc gõng dİnh vµo ¨n, ai, t«i ®Òu ch¶y n­íc miÕng.	T«i ®· thay ®æi quÇn ¸o cña t«i trong mét tuÇn, giÆt quÇn ¸o lµ qu¸ mÖt mái.	T«i 10 tuæi sèng b»ng nghÒ b¸n hµng, còng ®· ®i ®Õn nhiÒu n¬i.
29	H·y yªu ®éng vËt nhá, b¹n biÕt ®Êy.	Hoµng ®Õ cã tam cung lôc viÖn, còng kh«ng biÕt h¾n muèn nhiÒu l·o bµ nh­ vËy lµm c¸i g×.	N¨m sau nÕu kh«ng mang vÒ con rÓ, mÑ ta sÏ xem m¾t cho ta.	Hoa cóc kh«ng chØ ®Ñp mµ cßn cã thÓ dïng thuèc, cã t¸c dông thanh nhiÖt gi¶i ®éc.	Vµo buæi chiÒu, t«i muèn ngñ, chóng ta nªn t×m mét n¬i ®Ó nghØ ng¬i.	Khi lóa chİn, mïi th¬m sÏ bay, lµm cho mäi ng­êi c¶m thÊy rÊt h¹nh phóc.
30	¡n chay ®èi víi th©n thÓ tèt cßn kh«ng s¸t sinh!	Cã mét n¨m hoµng ®Õ tuyÓn tó n÷ thiÕu chót n÷a chän ta ®i, may mµ ta trèn ë trong hÇm.	LÇn sau chóng ta ®Õn thŞ trÊn, chóng ta cã thÓ ®Õn qu¸n r­îu ®Ó nghe bµi h¸t kh«ng?	§«ng trïng h¹ th¶o lµ mét lo¹i th¶o méc gièng nh­ c«n trïng, th­êng ®­îc sö dông ®Ó båi bæ c¬ thÓ.	H«m qua t«i kh«ng ngñ ngon v× t«i kh«ng cã ®ñ thøc ¨n cho b÷a tèi.	H«m nay d­êng nh­ trêi s¾p m­a, con trai bay rÊt thÊp.
31	MÆt trêi lín nh­ vËy ®· giÕt chÕt t«i, t«i sÏ nghØ ng¬i.	T¹i sao chŞ g¸i kh«ng kÕt h«n víi mét ng­êi ®µn «ng giµu cã, lµm thÕ nµo khã kh¨n ®Ó ®i du lŞch xung quanh nh­ vËy.	T«i ®· ®äc lŞch sö, nh­ng t«i kh«ng biÕt liÖu nh÷ng g× t«i nãi lµ ®óng sù thËt.	Tæ yÕn cã h­¬ng vŞ tèt, nh­ng t«i chØ ¨n nã mét lÇn.	T«i c¶m thÊy trµn ®Çy n¨ng l­îng vµ tinh thÇn tèt.	T«i cã bŞ bÖnh thÊp khíp tr­íc khi trêi m­a kh«ng?
32	Lu«n lu«n kh«ng m­a, nã sÏ chÕt!	Ta nghÜ sau nµy m×nh cã mét cöa hµng nhá, cßn cã mét phu qu©n thİch ta, sinh thªm mÊy ®øa nhá.	Nghe nãi c¸c phi tö trong hoµng cung ®Òu dïng s÷a ®Ó t¾m röa.	Th­êng xuyªn ¨n mét chót giÊm cã lîi cho søc kháe, t«i cã nghÜa lµ giÊm trong gia vŞ, ha ha.	ThËt xui xÎo, tói tiÒn cña t«i ®· bŞ ®¸nh c¾p.	T«i ®· ¨n hai gãi ®Ëu nµnh vµo buæi s¸ng, nh­ng t«i ®· kh«ng uèng s÷a ®Ëu nµnh, vµ b©y giê t«i c¶m thÊy ®ãi mét lÇn n÷a.
33	T«i võa chia tay b¹n trai víi t©m tr¹ng tåi tÖ, ®õng lµm phiÒn t«i.	Anh hä t«i thİch trang ®iÓm nhÊt, son phÊn cña c« Êy ®Çy mét tñ.	Kh«ng biÕt ngËm ti cã ph¶i thËt sù cã vÎ bÕ nguyÖt h­u hoa hay kh«ng.	B¹n thÊy qu¹t cña t«i vÏ mét sÜ n÷ xinh ®Ñp, c« Êy lµ em hä cña t«i.	T«i muèn mua mét chiÕc v¸y, nh­ng nã qu¸ ®¾t.	T¹i sao chŞ g¸i t«i thİch ¨n ch¸o g¹o tr¾ng.
34	B¹n cã h¹nh phóc c¶ ngµy!	N¨m tr­íc trong lóc h¸i thuèc trªn nói ®ông ph¶i mét l·o nh©n gia tiªn phong ®¹o cèt, trong nh¸y m¾t liÒn biÕn mÊt tr­íc m¾t ta.	Cã lÇn t«i ë trong mét s¬n cèc nghe ng­êi thæi tiªu, nh­ng l¹i kh«ng t×m ®­îc ng­êi thæi tiªu.	Tû tû cã ngäc béi sao, phô th©n ta tÆng cho ta mét c¸i phØ thóy, rÊt ®Ñp.	T«i võa mua mét cÆp vßng ngäc, nã rÊt ®Ñp.	C¸c c« g¸i khi mÆc quÇn ¸o nªn chó ı che giÊu nh÷ng thiÕu sãt cña hä vµ lµm næi bËt nh÷ng lîi thÕ cña hä.
35	Nã lµ rÊt cÇn thiÕt ®Ó sóc miÖng víi n­íc muèi mçi ngµy.	Khi cßn sèng còng muèn ®i ng¾m biÓn, chŞ còng ®i cïng nhau.	§Ó thu thËp mét sè tre ®Ó hÊp c¬m víi nã, h­¬ng vŞ rÊt th¬m.	NÕu mét ngµy nµo ®ã t«i cã thÓ bay trªn bÇu trêi nh­ mét con chim!	Ng­êi Cao Ly thİch ¨n d­a chua, cßn thİch ¨n thŞt chã. Hä sèng ë phİa b¾c xø kim quèc.	C¸c c« g¸i trÎ mÆc quÇn ¸o t«i nghÜ r»ng t«i nªn kiªng ®en, x¸m, xanh ®Ëm.
36	ThØnh tho¶ng còng ph¶i uèng chót trµ xanh ®Ó thanh háa.	Mét ngµy nµo ®ã chóng t«i ®i t¾m suèi n­íc nãng, chóng t«i c¶m thÊy tho¶i m¸i.	C¸nh gµ chØ cã thÓ ®¹t ®­îc sù hoµn h¶o khi ®­îc phñ mËt ong vµ muèi ®Ó n­íng.	Phong ®« ®Òu næi danh lµ quû thµnh, n¬i ®ã lµ quª h­¬ng cña Diªm V­¬ng.	§«ng Béc lµ mét quèc gia nhá, chóng thÊp bĞ, ®«i khi ®­îc nh×n thÊy trªn biÓn.	Võa råi ta nh×n thÊy mét l·o gia gia cña ng­êi nÆn m×, ng­êi lµm m× cña h¾n rÊt ®Ñp.
37	M­a trªn ®­êng kh«ng tèt cho søc kháe, ®Æc biÖt lµ chóng t«i lµ con g¸i.	T«i ch­a bao giê uèng mét giät r­îu, vµ gia ®×nh c« g¸i kh«ng nªn dİnh vµo thø nµy.	Ngµy nµo ®ã tû tû còng nªn ¨n mÆc thËt tèt, ta nghÜ ngay c¶ thÇn tiªn còng sÏ ®éng t©m.	TruyÒn thuyÕt kÓ r»ng Khi cßn sèng, Chung Kh«i tõng lµ mét th­ sinh tµi n¨ng, sau khi häc trung häc tr¹ng nguyªn v× vÎ ngoµi xÊu xİ cña nã kh«ng thÓ träng dông, cuèi cïng ®ông trô mµ chÕt.	Mét vµi th¸ng tr­íc, t«i ®· gÆp mét con hæ trªn nói, nã cã lÏ ®· ¨n ®Çy ®ñ, vµ t«i ®· ®i trong mét c¸i nh×n.	Ta lµ ng­êi sî nhÊt lµ nî ng­êi kh¸c t×nh.
38	B¹n kh«ng bao giê ¨n s¸ng, ®iÒu nµy kh«ng tèt cho søc kháe cña b¹n.	Vèn ta kh«ng biÕt ch÷, n¨m tr­íc mét tµi chñ gia lµm hé viÖn ta cïng c«ng tö n¬i ®ã häc ch÷.	NÕu kh«ng lÇn sau khi mÑ ta dÉn ta ®i xem m¾t, tû tû còng cïng ta ®i.	Ng« lµ mét lo¹i thùc phÈm rÊt tèt, ®Çy ®ñ vµ ngon, kh«ng ph¶i lµ chÊt bĞo.	Cã thêi gian, tû tû còng dÉn ta ®i du ngo¹n thÇn ch©u ®¹i ®Şa, thuËn tiÖn th­ëng thøc Èm thùc c¸c n¬i.	¢m s¾c cña c©y s¸o ho¹t b¸t mµ s¸ng bãng, mµ Tiªu l¹i u sÇu, ¶m ®¹m.
39	MÆt trêi mäc ba c©y sµo ph¶i rêi gi­êng luyÖn c«ng.	Nhµ c« g¸i nªn häc thªu hoÆc bÊt cø ®iÒu g×, nh­ng t«i kh«ng thÓ häc nã.	H«m qua ®i ngang qua th«n t«i nhÆt ®­îc hai qu¶ trøng gµ, kh«ng biÕt h«m nay cßn cã thÓ nhÆt ®­îc hay kh«ng.	B¹n ®· bao giê ¨n thá rõng n­íng, h­¬ng vŞ thùc sù tèt!	§¹i Lı quèc lµ mét n¬i ®Ñp nh­ tranh vÏ, ta còng muèn ®i xem mét chót.	Kh«ng biÕt chóng ta sau nµy giµ råi cã thÓ m¹o hiÓm trªn giang hå nh­ vËy hay kh«ng.
