talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
11	H·y cÈn thËn khi ®¸nh qu¸i lÇn sau, ®õng ®Ó t«i m¹o hiÓm.	Vµo ban ®ªm, b¹n sÏ nghe thÊy tiÕng Õch sña.	Nghe thÊy qu¹ kªu kh«ng, thËt lµ kh«ng may m¾n a.	Ch©n gµ cã g× ngon, thËt sù lµ kh«ng râ, ta thµ ¨n ch©n gµ.	T«i ®ãi, t«i muèn ¨n mét İt tr¸i c©y ®Ó bæ sung søc m¹nh thÓ chÊt.	H«m tr­íc gÆp mét ng­êi ®µn «ng rÊt xÊu xİ, lµm cho t«i kh«ng thÓ ¨n cho ®Õn b©y giê.
12	NÕu anh nghÜ t«i chØ thuª, th× t«i kh«ng cÇn ph¶i lµm b¹n.	§«i m¾t cña t«i ®i vµo c¸t, nh­ng t«i kh«ng cÇn ph¶i thæi nã.	Nh÷ng ngµy gÇn ®©y lu«n lu«n ®au ®Çu, ph¶i uèng mét sè sóp ®Ó bæ sung.	T«i tù hái nÕu mïa ®«ng nµy sÏ cã tuyÕt r¬i dµy?	Ca ca ph¶i cè g¾ng luyÖn c«ng a, nÕu kh«ng bŞ ng­êi kh¸c v­ît qua.	Kú thËt kh«ng nhÊt ®Şnh vãc d¸ng lín, cã vò lùc, trong chiÕn ®Êu liÒn chiÕm thÕ th­îng phong.
13	T©m tr¹ng cña t«i kh«ng tèt, xin vui lßng ®i xa h¬n.	H«m nay kh«ng biÕt cã ph¶i lµ ngµy may m¾n cña hoµng ®¹o hay kh«ng.	T«i ®· tiÕt kiÖm rÊt nhiÒu, t«i thÊy anh trai t«i tiÕt kiÖm h¬n t«i.	Mét ngµy nµo ®ã chóng ta sÏ mua İt thŞt ®Ó n­íng trong tù nhiªn, ph¶i kh«ng?	§ªm qua ngñ say, l¹i lµm cho mÊy con chim sÎ ®¸nh thøc.	Trang bŞ vµng cã ph¶i lµ giÊc m¬ mµ anh trai theo ®uæi kh«ng?
14	T«i kh«ng muèn nãi chuyÖn khi t«i ®ang ë trong mét t©m tr¹ng xÊu.	§õng ®i nhanh nh­ vËy, chê t«i.	¢m nh¹c cña chóng t«i lµ n¨m giai ®iÖu, kh«ng biÕt n­íc ngoµi lµ g×.	Cha t«i ®Æc biÖt thİch ®å sø, nh×n thÊy ®å sø tèt t«i ®· mua cho «ng.	Tuy r»ng chóng ta hµnh tÈu giang hå kh«ng tr¸nh khái cïng ng­êi kh¸c tû thİ, nh­ng còng kh«ng cÇn ph¶i h­íng ®èi ph­¬ng khiªu khİch.	Cã mét sè ng­êi vÎ mÆt t­¬i c­êi kú thËt trong lßng mang quû thai, ph¶i cÈn thËn.
15	Th«i nµo, ®õng nãi nh÷ng lêi th« lç tr­íc mÆt c« g¸i.	Ph¶i biÕt th­¬ng h­¬ng tiÕc ngäc, biÕt kh«ng?	T«i thİch ©m nh¹c cña T©y Vùc, rÊt ®Ñp.	ThËt vËy, lµm thÕ nµo t«i cã thÓ lµm mÊt b«ng tai cña mÑ t«i cho t«i!	T«i tù hái nÕu t«i trång c©y ®µo n¨m ngo¸i ®· në hoa?	T«i kh«ng hiÓu t¹i sao ®µn «ng cña b¹n thİch gi¶i quyÕt vÊn ®Ò b»ng vò lùc!
16	Tõ chèi b¹o lùc vµ duy tr× hßa b×nh.	Kh«ng biÕt ë cïng mét chç víi ca ca cã t­¬ng lai t­¬i s¸ng hay kh«ng?	B©y giê t«i ®· cè g¾ng h¬n t«i ®· lµm viÖc ch¨m chØ h¬n.	Anh thÊy ®«i giµy thªu nµy cña t«i ®Ñp kh«ng?	T«i muèn mua quÇn ¸o míi mét lÇn n÷a.	NÕu anh trai t«i ®ang ë trong mét t©m tr¹ng xÊu, h¸t mét bµi h¸t ®Ó h¸t.
17	Xem ra kÎ thï cña ng­¬i thËt kh«ng İt.	Than «i, thêi tiÕt ®ang trë nªn nãng h¬n vµ nãng h¬n, t«i kh«ng thÓ chŞu ®ùng ®­îc.	Hai ngµy nay t«i ¨n mét nöa no.	T«i nghÜ con ngùa cña chóng ta nªn t¾m.	B­u kiÖn cña anh rèi tung lªn, t«i sÏ gióp anh dän dÑp.	T¹i sao t«i cã rÊt nhiÒu quÇn ¸o, vÉn c¶m thÊy kh«ng ®ñ ®Ó mÆc ah!
18	§õng nĞm cho t«i nh÷ng thø b¹n kh«ng sö dông.	Lµm ¬n ®õng nh×n ch»m ch»m vµo ng­êi kh¸c!	T«i rÊt sî sÊm sĞt, ®õng chª c­êi t«i.	H«m nay con ngùa d­êng nh­ rÊt h¹nh phóc ah, ch¹y rÊt tinh thÇn!	§õng thÊy t«i lµ con g¸i, t«i còng rÊt m¹nh mÏ.	Ca ca, tÊt c¶ c«ng viÖc vÆt ta bao trän, kh«ng cÇn ng­¬i tù m×nh ®éng thñ.
19	T«i ch­a s½n sµng ®Ó v­ît qua nh÷ng khã kh¨n víi b¹n ngay b©y giê.	T«i kh«ng thİch nh÷ng ng­êi kh¸c ®ïa giìn víi t«i.	Mçi khi t«i ®Õn mét n¬i míi, t«i ph¶i ®i du lŞch tèt.	GiÊc m¬ cña anh trai lµ g×, cã thÓ nãi cho t«i nghe kh«ng?	T«i sÏ gióp anh trai t«i lµm tÊt c¶ mäi thø trong kh¶ n¨ng cña t«i.	NÕu thËt sù ®¸nh kh«ng l¹i ®Şch nh©n, mét chiªu cuèi cïng chİnh lµ ch¹y trèn.
20	§õng nghÜ r»ng t«i quan t©m ®Õn b¹n chØ cã mét t×nh c¶m tèt víi b¹n.	T«i kh«ng thİch ít, nh÷ng thø dİnh ít kh«ng bao giê ¨n.	T«i hy väng sÏ mua mét c¸nh ®ång ë vïng ngo¹i «, sèng b»ng c¸ch nu«i gµ vµ vŞt.	Khi cßn bĞ tõng m¬ ­íc lµm phi tö cña hoµng ®Õ, hiÖn t¹i còng kh«ng muèn nh­ vËy.	ThËt muèn vßng eo nhá h¬n mét chót!	B¹n ch­a bao giê ®Õn cung ®iÖn, n¬i ®ã thùc sù rÊt ®Ñp.
21	T«i nãi anh lµ ®µn «ng, ®õng c»n nh»n c¶ ngµy ®­îc kh«ng?	T«i nghÜ anh cã thÓ mÆc quÇn ¸o mµu xanh.	Ca ca ®Şnh hµnh tÈu giang hå ®Õn khi nµo ®©y?	T«i thİch ¨n nhÊt lµ b¾p c¶i xµo giÊm cña mÑ.	Lµm viÖc ®«i khi còng cÇn ph¶i thay ®æi, kh«ng thÓ qu¸ gi¸o ®iÒu.	D­êng nh­ rÊt İt khi thÊy b¹n ®äc, b×nh th­êng còng ph¶i chó ı ®Õn viÖc ®äc mét sè cuèn s¸ch oh.
22	Nh×n anh k×a, ®· bao l©u råi!	Râ rµng võa råi nh×n thÊy phİa tr­íc cã mét con nai, chíp m¾t liÒn biÕt.	B¹n thİch lo¹i c« g¸i nµo?	Ng­êi miÒn B¾c thİch cho n­íc t­¬ng vµo mãn ¨n, trªn thùc tÕ, ®iÒu nµy lµ sai.	B­íng bØnh vµ kiªn tr× lµ hai ®iÒu kh¸c nhau, c¶ hai ®Òu kh¸c nhau vÒ b¶n chÊt.	H× h×, t«i thªu mét chiÕc kh¨n tay cho anh trai t«i.
23	QuÇn ¸o cña b¹n lµ bÈn vµ må h«i h«i.	Tr­íc khi ra khái cöa ta nhÊt ®Şnh ph¶i cÇu b×nh an víi Bå T¸t.	Trong chiÕn ®Êu ®õng quªn nh×n vµo l­îng m¸u cña t«i, kŞp thêi thªm m¸u cho t«i.	N­íc t­¬ng sÏ ph¸ hñy h­¬ng vŞ ban ®Çu cña mãn ¨n vµ thŞt, cã thÓ kh«ng ®Æt.	Buæi s¸ng kh«ng thÓ bá b÷a s¸ng, anh b¹n.	Cã mét x­ëng lµm n­íc t­¬ng gÇn ®ã, v× vËy cã mét h­¬ng vŞ n­íc t­¬ng.
24	T«i sÏ kh«ng c¶m ¬n anh, bëi v× t«i chØ thuª anh th«i.	Giang hå rèt cuéc cã g× hÊp dÉn ng­¬i ®©y?	T¶o bÑ lµ mét lo¹i thùc phÈm tèt, th­êng ¨n cã lîi cho søc kháe tèt.	R­îu nÊu ¨n lµ mét gia vŞ cÇn thiÕt, nã cã thÓ lo¹i bá mïi tanh cña thŞt.	MÆc dï cuéc sèng kh«ng qu¸ nhiÒu thËp kû, chóng ta còng ph¶i viÕt ch­¬ng ®Ñp nhÊt cho nã.	§õng xem th­êng n÷ tö a, kh«ng cã n÷ tö lÊy ®©u ra nam tö c¸c ng­¬i ®©y?
25	T«i kh«ng quan t©m ®Õn bÊt cø ®iÒu g× kh¸c ngoµi tiÒn b¹c.	Trêi tèi, chóng ta ph¶i cÈn thËn.	Thªm thuèc m¸u cho t«i vµ b¹n sö dông kh«ng gièng nhau, ph¶i chó ı oh!	NÊm lµ mét thùc phÈm rÊt tèt, s­ên hÇm vµ gµ, thªm mét sè ®Ó t¨ng h­¬ng vŞ t­¬i.	§õng quªn nh÷ng ng­êi th©n yªu vµ b¹n bÌ cña b¹n bÊt cø khi nµo b¹n muèn.	NÕu anh trai t«i ®i ®¸nh b¹c, t«i sÏ bá qua anh.
26	Quèc gia h­ng vong kh«ng liªn quan g× ®Õn ta.	H¸t cho t«i nghe mét bµi h¸t?	T«i ®· tõng nghÜ r»ng cam vµ cam lµ mét lo¹i tr¸i c©y, trªn thùc tÕ, nã thùc sù lµ kh¸c nhau.	T«i thİch nÊu ¨n, cã c¬ héi còng cho anh trai t«i lµm ®iÒu ®ã!	Ta muèn sèng ®Õn chİn m­¬i chİn, chİnh lµ kh«ng biÕt «ng trêi cã cho ta c¬ héi nµy hay kh«ng.	Wow, mét con b­ím ®Ñp.
27	Lµm bao nhiªu c«ng viÖc lÊy bao nhiªu tiÒn, t«i sÏ kh«ng lµm thªm cho anh.	NÕu b¹n c¶m thÊy mÖt mái, b¹n cã thÓ uèng mét İt trµ s©m.	Nh÷ng con chim trªn c©y ®ang hĞt lªn rÊt h¹nh phóc!	Nhµ ai ®ang xµo ®Ëu phéng, thùc sù th¬m!	§«n Hoµng lµ mét n¬i ®Çy huyÒn tho¹i.	T¹i sao t«i kh«ng ®­îc sinh ra lµ mét c«ng chóa ®Ó t«i kh«ng ph¶i b«n ba cho thùc phÈm vµ quÇn ¸o.
28	Ngay c¶ khi b¹n lµ mét ng­êi ®µn «ng, b¹n nªn chó ı ®Õn ®ång hå cña b¹n.	Ví cña anh bŞ r¸ch, sao anh vÉn cßn mÆc.	Ta ®Şnh tÆng cha ta mét bé ®å sø cña lß quan.	Ba l« tù lµm b»ng tay, tr«ng ®Ñp kh«ng?	¡n no kh«ng thÓ ®i ngñ ngay lËp tøc, sÏ ®au d¹ dµy.	§õng quªn mµi giòa vò khİ cña b¹n, trong mét thêi gian dµi sÏ rØ sĞt.
29	§õng nãi ta lµ n÷ nh©n l¹nh lïng, ®èi víi ng­¬i ta liÒn lo¹i th¸i ®é nµy.	T«i nãi t¹i sao b¹n kh«ng cã thãi quen röa tay tr­íc b÷a ¨n?	N¨m nay kh«ng thu lÔ, thu lÔ chØ thu tæ.	H«m nay thêi tiÕt thËt tèt, thËt m¸t mÎ!	T«i ghĞt nh÷ng ng­êi sö dông b¹o lùc mét c¸ch ngÉu nhiªn.	T«i biÕt anh trai t«i sÏ kh«ng lµm cho gia ®×nh con g¸i cña chóng t«i ph¶i ®èi mÆt víi nguy hiÓm.
30	§i chËm l¹i, muèn mÖt mái ®Õn chÕt ta sao?	Chóng ta th­êng ¨n g¹o tinh chÕ, nh­ng v× lîi İch søc kháe còng ph¶i ¨n mét İt ngò cèc th«.	NÕu trong phßng Èm ­ít vµ mèc, h·y sö dông h­¬ng th¬m ®Ó hun khãi.	Cã ng­êi ë gÇn ®ã ®ang ch¬i ®µn Lahu, thËt khã nghe!	§µn «ng muèn cã chót phong ®é, nhÊt ®Şnh ph¶i biÕt khiªm nh­êng cho con g¸i.	Cã nhÇm lÉn hay kh«ng, mang theo thŞt kh« tÊt c¶ ®Ó cho t«i ¨n hÕt.
31	T«i c¶m thÊy tåi tÖ, b¹n lµm cho t«i qu¸ mÖt mái.	ThËt tèt vµo ban ®ªm nÕu b¹n cã thÓ ¨n b÷a tèi.	§ªm dµi ®»ng ®½ng, chØ cã hai chóng ta ë vïng ngo¹i « nµy ch¹y ®i.	Khi t«i cßn nhá, mÑ t«i th­êng kÓ cho t«i nghe nh÷ng c©u chuyÖn.	MÆc dï biÓn rÊt ®Ñp, nh­ng khi sãng giã lín nªn tr¸nh xa nã.	T«i thùc sù lµ mét ng­êi ®µn «ng th«ng minh, vµ nh÷ng ng­êi kh¸c ®Æt c­îc vµo mét tói b¹c, ha ha.
32	Chóng t«i chØ thuª c¸c mèi quan hÖ, kh«ng cã g× kh¸c.	T«i kh«ng lµm g× kh¸c ngoµi viÖc b¶o vÖ anh vµ lµ trî lı cña anh.	Ca ca vÉn nªn uèng İt r­îu lµ tèt nhÊt, r­îu sÏ lµm sai.	GÇn ®©y t©m t×nh cña ca ca tùa hå kh«ng tÖ, lu«n c­êi meo meo.	T«i thİch nh÷ng ng­êi nhanh nhÑn.	Tr­íc cöa nhµ t«i ban ®Çu cã mét con s«ng, rÊt ®Ñp, nh­ng khi lò lôt nhÊn ch×m c¸c ng«i lµng gÇn ®ã.
33	§õng nghÜ r»ng b¹n lµ ®Ñp trai, b¹n chØ lµ mét con Õch.	B¹n kh«ng biÕt nh÷ng lo¹i quÇn ¸o b¹n thİch?	NÕu t«i t¾m bªn bê s«ng, anh sÏ ®i xa vµ kh«ng thÓ nh×n trém.	Anh trai cã ng­êi m×nh thİch kh«ng?	Cho ®Õn b©y giê t«i vÉn ch­a biÕt anh trai t«i thİch ¨n g× nhÊt?	NÕu nh­ cã thÓ cïng ca ca sèng nh­ vËy c¶ ®êi nªn tèt biÕt bao!
34	B¹n c­êi khã coi h¬n khãc.	T«i kh«ng thİch nh×n anh nghiªm mÆt, c­êi!	B¹n nªn lµm cho nã ngon ®Ó cho t«i ¨n ®Çu tiªn, vui vÎ ®Ó cho t«i ch¬i ®Çu tiªn.	Rèt cuéc lµ c« g¸i nµo cã thÓ lµm cho anh trai ®éng t©m nh­ vËy?	T«i t×m thÊy anh trai t«i thİch ¨n ®å ¨n nhÑ.	Tèng nh©n chóng ta thÓ lùc kh«ng b»ng ng­êi kim nh©n, nh­ng chóng ta cã thÓ dïng th©n thñ nhanh nhÑn h¬n ®Ó ®èi phã víi bän hä.
35	¡n tái ®i, tr¸nh ®i ®i.	T«i muèn mua mét ®«i giµy ®Ñp, nh­ng nã qu¸ ®¾t.	B©y giê thêi tiÕt nãng ®Õn nçi mäi ng­êi muèn nh¶y xuèng s«ng ®Ó t¾m!	NÕu mét ngµy nµo ®ã, anh trai t«i thùc sù thİch mét c« g¸i, ®õng quªn t«i ah!	T«i thİch b¾t ®Çu luyÖn tËp khi mÆt trêi ch­a mäc.	LÇn tr­íc cã mét tªn l­u manh mua ®å kh«ng xÕp hµng, bŞ ta söa ch÷a mét trËn.
36	§õng ®Ó con ngùa cña anh ®Õn gÇn t«i.	§õng ®Õn gÇn t«i nh­ vËy, ®­îc chø?	Khi ®i bé ph¶i chó ı ­ìn ngùc ngÈng ®Çu, thu bông l¹i.	Chóng ta cã thÓ nghØ ng¬i mét chót ®­îc kh«ng, anh b¹n!	Râ rµng lµ chóng t«i d­êng nh­ quªn bÊt cø ®iÒu g×, nh­ng t«i kh«ng thÓ nhí nã.	Ta lo l¾ng ca ca cã ng­êi trong lßng sÏ kh«ng thİch ë cïng ta n÷a.
37	Ng­¬i cã trang bŞ hoµng kim th× thÕ nµo, ta còng kh«ng hiÕm l¹.	H«m nay t«i cã mét tinh thÇn tèt, ph¶i kh«ng?	B¹n thÊy ®Êy, èc bß trªn l¸, rÊt dÔ th­¬ng.	§õng ®i nhanh nh­ vËy, t«i kh«ng thÓ theo kŞp anh.	Chim bÊt tö lµ mét loµi chim huyÒn tho¹i, lµ vŞ th¸nh b¶o trî cña t«i.	Thanh Long, B¹ch Hæ, Chu T­íc, HuyÒn Vò, tø ph­¬ng thÇn ai lµ yªu thİch cña b¹n ®©y?
38	Phong thñy lu©n chuyÓn, ®õng qu¸ tù hµo.	B¹n ®· bao giê häc ®­îc tin ®ån, rÊt thó vŞ.	T«i thİch c©y liÔu vµ c©y ®µo v× chóng cã thÓ tµ ¸c.	Mïa thu lµ mïa yªu thİch cña t«i vµ cã thÓ ¨n rÊt nhiÒu tr¸i c©y.	T«i thùc sù kh«ng thİch ®¸nh ®Ëp vµ giÕt chÕt, khao kh¸t mét cuéc sèng yªn tÜnh.	T¹i sao anh kh«ng mang giµy t«i lµm cho anh, nã lµm t«i buån.
39	T«i thİch lµm bÊt cø ®iÒu g× ®Ó lµm, kh«ng cÇn b¹n can thiÖp.	T«i thÊy anh ®i nhµ tranh cò, cã ph¶i bông kh«ng tho¶i m¸i kh«ng?	Vµo mïa hÌ, h·y chó ı ®Õn viÖc lµm m¸t mïa hÌ, kh«ng uèng nh÷ng thø qu¸ l¹nh.	¤å, t«i d­êng nh­ ®· nh×n thÊy d× cña t«i ngay b©y giê, vµ nã d­êng nh­ kh«ng, ha ha.	H«m nay t«i ®ang ë trong mét t©m tr¹ng xÊu, bëi v× t«i ®· ®äc mét bµi th¬ rÊt buån.	Ngay c¶ biÓu ®Ö cña ta còng thµnh th©n, h«n sù cña ta vÉn kh«ng cã kÕt qu¶.
40	T«i nghi ngê mét ng­êi ®µn «ng nh­ b¹n cã thÓ cã mét ng­êi phô n÷ thİch nã?	T«i kh«ng thÓ chŞu ®ùng ®­îc khİ hËu ë phİa b¾c, ®Æc biÖt lµ vµo mïa ®«ng, qu¸ l¹nh!	MÆt trêi lín nh­ vËy, tÊt c¶ c¸c lo¹i hoa vµ cá ven ®­êng ®· ®­îc ph¬i n¾ng.	Ng­êi t«i muèn b¶o vÖ nhÊt lµ anh trai vµ anh.	V× sao Høa Tiªn l¹i phô B¹ch n­¬ng tö, thËt sù lµ kh«ng râ.	Võa ®Õn thÊt tŞch ta liÒn t­¬ng ®èi buån bùc, ng­êi ta tõng ng­êi mét thµnh ®«i, chØ cã ta mét m×nh.
41	§õng nghÜ r»ng c¸c c« g¸i kh¸c nh×n thÊy b¹n cã t×nh c¶m tèt víi b¹n.	Võa råi nh×n thÊy mét con mÌo hoa mang theo vµi con mÌo nhá ®i d¹o.	NÕu anh th­êng xuyªn ®Ó t«i cóp m¸y, mèi quan hÖ cña t«i víi anh sÏ trë nªn tåi tÖ h¬n.	§«i khi chóng ta nªn cè g¾ng hîp t¸c víi nh÷ng ng­êi kh¸c ®Ó ®èi phã víi kÎ thï.	C¶nh t­îng ®om ®ãm bay lªn bÇu trêi vµo ban ®ªm thùc sù ®Ñp!	Anh b¹n, anh nghÜ c¸i nµy lµ g×? ¤å, t«i thªu tói h­¬ng cña riªng t«i.
42	Nãi r»ng ng­êi kh¸c nªn xem xĞt b¶n th©n tr­íc.	Con ng­êi t«i thİch xen vµo c«ng viÖc cña ng­êi kh¸c.	T«i biÕt anh trai t«i lµ mét ng­êi chu ®¸o, dŞu dµng.	§èi mÆt víi kÎ thï m¹nh mÏ, hai chóng t«i lµ kh«ng ®ñ vµ ph¶i liªn kÕt víi nh÷ng ng­êi kh¸c.	A¸nh tr¨ng tèi nay rÊt kú l¹.	Khi t«i cßn nhá, t«i thİch leo c©y nhÊt, nh­ng nhiÒu lÇn ®i lªn kh«ng xuèng ®­îc.
43	§µn «ng cña b¹n lu«n lu«n nghÜ r»ng hä lµ tuyÖt vêi.	ThËt thó vŞ khi hai con b­ím ®ang ch¬i ®ïa.	Nhµ ai ph¬i c¸ muèi, thËt h«i thèi!	§· cã nhiÒu lÇn t«i vµ anh trai t«i lang thang trªn bê vùc cña sù sèng vµ c¸i chÕt.	T«i khao kh¸t mét cuéc sèng tù do, gièng nh­ b©y giê.	Nãi kh«ng chõng khi nµo ta sÏ lui Èn giang hå, khi ®ã kh«ng nì bá nhÊt chİnh lµ ca ca.
44	HiÖp kh¸ch ­u tó sÏ kh«ng ®Ó cho trî lı cña h¾n m¹o hiÓm.	Trong tói cßn cã c¸i tæ, anh cã ¨n kh«ng?	Kú thËt mïi ®Ëu phô thèi còng kh«ng tÖ l¾m, chİnh lµ ¨n dÔ dµng lµm n¸o lo¹n bông.	Ng­¬i cã biÕt ®iÓm huyÖt sao, ta cho dï thÕ nµo còng kh«ng häc ®­îc.	T«i cÇn mét chiÕc gi­êng tho¶i m¸i vµ cã mét giÊc ngñ ngon.	T×nh yªu lµ g×, nghe c©u chuyÖn nãi rÊt tuyÖt vêi ah.
45	Than «i, ngay c¶ khi t«i thuª anh, anh còng kh«ng cÇn ph¶i l¹nh lïng nh­ vËy.	Anh cã biÕt n¨m nay t«i lín nh­ thÕ nµo kh«ng?	Ta thÊy ca ca lu«n ¨n b¸nh bao, ng­¬i kh«ng cÇn cÇn kiÖm nh­ vËy ®i.	Khi chiÕn ®Êu kh«ng thÓ chØ dùa vµo søc m¹nh vò phu, mµ cßn sö dông trİ tuÖ.	Tuy r»ng x«ng vµo giang hå rÊt vÊt v¶, nh­ng cã ca ca ë ta liÒn kh«ng c¶m thÊy.	Con ng­êi ta thİch gãp vui, phµm lµ n¬i ®«ng ng­êi ®Òu thİch chen chóc vµo bªn trong.
