名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2	可熔炼属性数量	可熔炼纹钢品质	基础兵甲值	是否可升星装备	可镶嵌星辰石数量	装备突破祝福值	注灵位置数量	显示图标ID
[天赐的]四空之达摩僧鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	白金装备，套装第二件	2	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	320	588	718	8	307	637	789	789	790	790	3	903	909	3	2			2	7						
[天赐的]四空之护法腰带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	白金装备，套装第三件	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	0							2	616	309	639	652	652	311	598	416	641	425	643	3	777	809	3	3			2	7						
[天赐的]四空之软皮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备，套装第四件	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	0							2	616	417	31	326	326	311	598	6	609	676	676	3	849	853	3	4			2	7						
[天赐的]四空之戒律法戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备，套装第五件	2	99999	10	0																						36	120	39	0									129	129	130	130	747	739	748	740	741	749			3	883	882	3	5			2	7						
[天赐的]撼天之金环大眼神锤	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	白金装备，套装第一件	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	32	235	39	1							135	135	50	599	46	592	69	593	110	111	73	73	4	766	767	4	1			2	7						
[天赐的]撼天之武神镶金甲	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	白金装备，套装第二件	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	318	832	757	757	311	598	791	791	4	901	911	4	2			2	7						
[天赐的]撼天之威武束腰环	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	白金装备，套装第三件	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	653	653	311	598	416	641	647	647	4	779	811	4	3			2	7						
[天赐的]撼天之虎头紧束腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备，套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			4	879	878	4	4			2	7						
[天赐的]撼天之乘龙战靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	白金装备，套装第五件	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	677	677	419	638	319	678	679	679	4	846	855	4	5			2	7						
[天赐的]继业之奔雷钻龙枪	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	白金装备，套装第一件	2	99999	10	0	28	18	18	29	158	158	167	30	30	31	99	99										36	120	32	165	33	165	39	1					57	620	51	625	46	592	69	593	110	111	73	73	5	766	767	5	1			2	7						
[天赐的]继业之玄武黄金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	白金装备，套装第二件	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	680	680	79	311	685	319	686	686	5	848	854	5	2			2	7						
[天赐的]继业之白虎无双扣	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	白金装备，套装第三件	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	654	654	311	598	416	641	647	647	5	778	810	5	3			2	7						
[天赐的]继业之火云麒麟手	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	白金装备，套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			5	881	880	5	4			2	7						
[天赐的]继业之朱雀凌云靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备，套装第五件	1	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	763	763	758	758	88	419	792	792	5	902	910	5	5			2	7						
[天赐的]御龙之亮银宝刀	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	白金装备，套装第一件	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	1							57	620	52	625	46	592	69	593	110	111	73	73	6	766	767	6	1			2	7						
[天赐的]御龙之战神挂坠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	白金装备，套装第二件	0	99999	10	0																						36	120	39	1									2	616	438	88	79	311	107	107	681	681	711	687	6	849	856	6	2			2	7						
[天赐的]御龙之天门束腰环	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	白金装备，套装第三件	4	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	655	655	311	598	416	641	647	647	6	780	812	6	3			2	7						
[天赐的]御龙之迅风发箍	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	28	2	2	白金装备，套装第四件	2	99999	10	0	30	360	360	31	85	85																36	120	32	160	39	1							2	616	311	598	319	678	327	327	423	642	793	793	6	903	912	6	4			2	7						
[天赐的]御龙之绝命指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备，套装第五件	1	99999	10	0																						36	120	39	1									129	129	130	130	747	739	748	740	741	749			6	883	882	6	5			2	7						
[天赐的]无间之倚天剑	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	白金装备，套装第一件	0	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	110	39	4							2	616	43	43	48	592	71	593	113	595	461	461	7	766	767	7	1			2	7						
[天赐的]无间之清风软屐	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	白金装备，套装第二件	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							719	4	320	588	718	8	313	597	811	811	794	794	7	901	918	7	2			2	7						
[天赐的]无间之拂云丝带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	白金装备，套装第三件	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	4							418	4	309	639	656	656	307	637	6	609	425	643	7	786	818	7	3			2	7						
[天赐的]无间之琴韵护腕	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	白金装备，套装第四件	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	4							2	616	329	329	439	682	307	637	6	609	683	683	7	846	862	7	4			2	7						
[天赐的]无间之白玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	白金装备，套装第五件	2	99999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			7	879	878	7	5			2	7						
[天赐的]无魇之摩尼冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	白金装备，套装第一件	2	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							2	616	307	637	420	640	309	639	6	609	427	628	8	787	819	8	1			2	7						
[天赐的]无魇之秋水流光带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	白金装备，套装第二件	4	99999	10	0	30	140	140	31	80	80																36	120	32	135	39	4							2	616	312	596	718	8	309	639	812	812	427	628	8	902	919	8	2			2	7						
[天赐的]无魇之冰晶指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备，套装第三件	4	99999	10	0	31	80	80																			36	120	39	4									129	129	130	130	747	739	748	740	743	751			8	881	880	8	3			2	7						
[天赐的]无魇之洗象玉扣	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	白金装备，套装第四件	1	99999	10	0	31	60	60																			36	120	39	4									146	632	304	304	57	621	322	313	498	498	499	499	8	769	801	8	4			2	7						
[天赐的]无魇之红缁软禢鞋	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	白金装备，套装第五件	1	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	4							146	717	320	588	684	684	88	419	8	612	330	330	8	848	863	8	5			2	7						
[天赐的]无尘之玉女素心冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	白金装备，套装第一件	3	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	4							418	418	309	309	197	197	312	312	421	421	420	420	9							2	7						
[天赐的]无尘之清心向善珠	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	白金装备，套装第二件	1	99999	10	0																						36	120	39	4									2	2	88	88	331	331	95	95	8	8	107	107	9							2	7						
[天赐的]无尘之慈悲玉般指	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	白金装备，套装第三件	2	99999	10	0																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			9	883	882					2	7						
[天赐的]无尘之静影流苏	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	白金装备，套装第四件	1	99999	10	0	31	60	60																			36	120	39	4									2	616	88	419	718	8	420	640	813	813	795	795	9							2	7						
[天赐的]无尘之佛光指环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	白金装备，套装第五件	1	99999	10	0	31	80	80																			36	120	39	4									2	2	419	419	6	6	203	203	417	417	115	115	9							2	7						
[天赐的]栖凰之凤仪刀	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	白金装备，套装第一件	0	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	5							2	616	43	43	48	592	71	593	113	595	462	462	10	766	767	9	1			2	7						
[天赐的]栖凰之慧心长生扣	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	白金装备，套装第二件	1	99999	10	0	31	60	60																			36	120	39	5									759	784	88	419	39	39	423	642	814	814	796	796	10	901	920	9	2			2	7						
[天赐的]栖凰之风雪白云束带	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	白金装备，套装第三件	3	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	5							2	616	309	639	657	657	307	637	6	609	773	689	10	788	820	9	3			2	7						
[天赐的]栖凰之冰踪锦腕	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	白金装备，套装第四件	1	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	5							2	616	333	333	439	682	307	637	6	609	688	688	10	846	864	9	4			2	7						
[天赐的]栖凰之翠玉指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	白金装备，套装第五件	2	99999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			10	879	878	9	5			2	7						
[天赐的]碧海之鸳鸯连环刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd15.spr	14	2	3	白金装备，套装第一件	2	99999	10	0	28	62	62	29	92	92	167	20	20	31	99	99										36	120	32	160	39	5							4	619	304	304	465	465	148	633	8	612	462	462	11	770	802	10	1			2	7						
[天赐的]碧海之环珠宣清巾	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	白金装备，套装第二件	2	99999	10	0	30	315	315	31	85	85																36	120	39	5									719	4	88	419	718	8	420	640	815	815	797	797	11	902	921	10	2			2	7						
[天赐的]碧海之红铃金丝带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	白金装备，套装第三件	4	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	5							2	616	309	639	658	658	419	638	421	8	422	422	11	789	821	10	3			2	7						
[天赐的]碧海之红铃波	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	白金装备，套装第四件	0	99999	10	0	31	60	60																			36	120	39	5									146	632	296	689	418	4	39	39	322	313	690	690	11	848	865	10	4			2	7						
[天赐的]碧海之纤细指环	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	白金装备，套装第五件	1	99999	10	0																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			11	881	880	10	5			2	7						
[天赐的]幽胧之金蛇发带	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	白金装备，套装第一件	1	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	616	302	302	691	691	143	692	6	609	693	693	12	846	861	11	1			2	7						
[天赐的]幽胧之赤蝎秘装	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	白金装备，套装第二件	2	99999	10	0	30	630	630	31	90	90																36	120	32	135	39	3							616	759	771	831	306	695	423	642	311	598	334	334	12	901	917	11	2			2	7						
[天赐的]幽胧之青蜈缠腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	白金装备，套装第三件	0	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	3							2	616	309	639	659	659	307	637	6	609	423	642	12	785	817	11	3			2	7						
[天赐的]幽胧之银蟾护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	白金装备，套装第四件	4	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							129	129	130	130	747	739	748	740	742	750			12	879	878	11	4			2	7						
[天赐的]幽胧之墨蛛软履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	白金装备，套装第五件	1	99999	10	0	30	140	140	31	60	60																36	120	32	50	39	3							1	615	127	589	60	622	103	587	614	613	508	508	12	771	803	11	5			2	7						
[天赐的]冥幻之邪刹毒刃	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	白金装备，套装第一件	2	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	3							46	592	69	71	113	595	73	73	41	772	75	626	13	766	767	12	1			2	7						
[天赐的]冥幻之幽蛊暗衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	白金装备，套装第二件	0	99999	10	0	30	720	720	31	90	90																36	120	32	260	39	3							418	694	336	336	306	695	307	637	6	609	417	31	13	848	860	12	2			2	7						
[天赐的]冥幻之毒蝎指环	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	白金装备，套装第三件	4	99999	10	0																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			13	881	880	12	3			2	7						
[天赐的]冥幻之腐骨护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	白金装备，套装第四件	3	99999	10	0	30	135	135	31	80	80																36	120	32	110	39	3							2	616	309	639	660	660	307	637	645	645	425	643	13	784	816	12	4			2	7						
[天赐的]冥幻之双环蛇扣	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	白金装备，套装第五件	4	99999	10	0	30	140	140	31	80	80																36	120	39	3									616	759	312	596	718	8	416	830	816	816	798	798	13	902	916	12	5			2	7						
[天赐的]咒缚之破甲头环	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	白金装备，套装第一件	4	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	3							2	2	337	337	6	6	307	307	233	233	31	31	14							2	7						
[天赐的]咒缚之灭雷颈符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	白金装备，套装第二件	3	99999	10	0																						36	120	39	3									2	2	93	93	234	234	95	95	8	8	107	107	14							2	7						
[天赐的]咒缚之幽幻指环	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备，套装第三件	1	99999	10	0																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			14	883	882					2	7						
[天赐的]咒缚之穿心毒腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	白金装备，套装第四件	2	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	3							418	418	309	309	161	161	312	312	421	421	423	423	14							2	7						
[天赐的]咒缚之蚀骨玉佩	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	白金装备，套装第五件	3	99999	10	0	31	60	60																			36	120	39	3									2	616	312	596	718	8	416	541	817	817	799	799	14							2	7						
[天赐的]冰寒之弹指飞刀	0	1	1	\spr\item\equip\rangeweapon\obj-adart28.spr	15	1	1	白金装备，套装第一件	0	99999	10	0	28	44	44	29	100	100	167	-20	-20	31	99	99										36	120	32	90	33	110	39	2					2	617	44	44	46	592	69	593	113	595	471	471	15	766	767	13	1			2	7						
[天赐的]冰寒之玄衣束甲	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	白金装备，套装第二件	4	99999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					418	694	338	338	306	695	307	637	6	609	696	696	15	846	857	13	2			2	7						
[天赐的]冰寒之心箭腰扣	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	白金装备，套装第三件	3	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	4	309	639	661	661	307	637	6	609	423	642	15	781	813	13	3			2	7						
[天赐的]冰寒之玄天冰火佩	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	白金装备，套装第四件	1	99999	10	0																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			15	879	878	13	4			2	7						
[天赐的]冰寒之月影靴	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	白金装备，套装第五件	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616	759	320	588	762	762	311	598	818	818	800	800	15	901	913	13	5			2	7						
[天赐的]天光之花雨漫天	0	1	2	\spr\item\equip\rangeweapon\obj-adart29.spr	17	2	2	白金装备，套装第一件	0	99999	10	0	28	46	46	29	102	102	167	0	0	31	99	99										36	120	32	65	33	230	39	2					8	611	43	43	48	592	71	594	113	595	471	471	16	766	767	14	1			2	7						
[天赐的]天光之定心凝神符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	白金装备，套装第二件	4	99999	10	0																						36	120			39	2							2	616	317	307	661	661	107	107	8	697	698	698	16	848	859	14	2			2	7						
[天赐的]天光之森罗束腰	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	白金装备，套装第三件	3	99999	10	0	30	111	111	31	80	80																36	120	32	90	33	110	39	2					2	616	309	639	662	662	307	637	6	609	425	643	16	782	815	14	3			2	7						
[天赐的]天光之地行千里靴	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	白金装备，套装第四件	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					616	759	320	588	762	762	311	598	339	339	801	801	16	902	915	14	4			2	7						
[天赐的]天光之束天缚地环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	白金装备，套装第五件	2	99999	10	0																						36	120			39	2							129	129	130	130	747	739	748	740	742	750			16	881	880	14	5			2	7						
[天赐的]森荒之飞星夺魂	0	1	0	\spr\item\equip\rangeweapon\obj-adart27.spr	15	1	1	白金装备，套装第一件	0	99999	10	0	28	42	42	29	98	98	167	0	0	31	99	99										36	120	32	90	33	110	39	2					4	618	43	43	48	592	71	594	113	595	471	471	17	766	767	15	1			2	7						
[天赐的]森荒之金钱连环甲	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-1.spr	22	2	3	白金装备，套装第二件	4	99999	10	0	30	720	720	31	90	90																36	120	32	110	33	165	39	2					759	784	306	695	718	8	311	598	819	819	802	802	17	903	914	15	2			2	7						
[天赐的]森荒之魂咬腰束	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	白金装备，套装第三件	3	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	4	309	639	663	663	307	637	6	609	423	642	17	783	814	15	3			2	7						
[天赐的]森荒之玄铁镶玉佩	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	白金装备，套装第四件	1	99999	10	0																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			17	883	882	15	4			2	7						
[天赐的]森荒之星陨飞履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	白金装备，套装第五件	2	99999	10	0	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	694	340	340	320	588	307	637	6	609	698	698	17	849	858	15	5			2	7						
[天赐的]地魄之五行连环冠	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	白金装备，套装第一件	4	99999	10	0	30	315	315	31	85	85																36	120	32	110	39	2							418	418	341	341	437	437	307	307	6	6	224	224	18							2	7						
[天赐的]地魄之黑焰冲天链	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	白金装备，套装第二件	3	99999	10	0																						36	120	39	2									1	1	222	222	221	221	95	95	8	8	107	107	18							2	7						
[天赐的]地魄之霹雳雷火戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	白金装备，套装第三件	1	99999	10	0																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			18	885	884					2	7						
[天赐的]地魄之扣心镯	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	白金装备，套装第四件	2	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	2							418	418	309	309	223	223	307	307	6	6	423	423	18							2	7						
[天赐的]地魄之风寒束腰	0	6	0	\spr\item\equip\sash\obj-sash05.spr	33	2	1	白金装备，套装第五件	0	99999	10	0	30	160	160	31	80	80																36	120	32	135	39	2							616	759	312	596	718	8	420	640	820	820	16	827	18							2	7						
[天赐的]同仇之御龙玉佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	白金装备，套装第一件	0	99999	10	0	31	60	60																			36	120	39	6									2	616	307	637	769	769	420	640	342	342	803	803	19	901	925	16	1			2	7						
[天赐的]同仇之降龙丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	白金装备，套装第二件	1	99999	10	0	30	500	500	31	80	80																36	120	32	110	39	6							585	423	438	88	5	608	39	584	630	631	515	515	19	772	804	16	2			2	7						
[天赐的]同仇之潜龙腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	白金装备，套装第三件	2	99999	10	0	30	140	140	31	80	80																36	120	32	110	39	6							2	616	312	596	664	664	309	639	6	609	420	640	19	793	825	16	3			2	7						
[天赐的]同仇之亢龙护手	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	白金装备，套装第四件	0	99999	10	0	30	111	111	31	80	80																36	120	32	90	39	6							2	616	304	304	699	699	151	631	8	611	472	472	19	846	869	16	4			2	7						
[天赐的]同仇之见龙扳指	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备，套装第五件	4	99999	10	0																						36	120	39	6									129	129	130	130	747	739	748	740	744	752			19	879	878	16	5			2	7						
